ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
512493,40-64,female,majority,20-29y,high school,middle class,0.5535601281630852,1.0,before 2015,0.0,1.0,10238,12000.0,sedan,0,0,1,0.0
901806,16-25,female,minority,0-9y,high school,poverty,0.2525014821570652,1.0,before 2015,0.0,1.0,10238,9000.0,sedan,0,0,0,1.0
807092,26-39,female,majority,10-19y,university,middle class,0.6390800755821244,0.0,before 2015,1.0,1.0,10238,10000.0,sedan,0,0,0,0.0
790558,26-39,female,majority,10-19y,university,middle class,0.5179824926082389,1.0,after 2015,1.0,0.0,10238,16000.0,sedan,0,0,0,0.0
749179,26-39,female,majority,10-19y,university,middle class,0.6652700956908707,1.0,before 2015,0.0,1.0,10238,10000.0,sedan,1,0,0,0.0
72382,40-64,male,majority,20-29y,high school,working class,0.4275608354586653,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,1,0.0
326875,65+,male,majority,0-9y,university,upper class,0.6327218261481451,1.0,before 2015,1.0,1.0,32765,7000.0,sedan,0,0,0,1.0
292254,40-64,female,majority,0-9y,none,middle class,0.479566722770817,1.0,before 2015,0.0,1.0,10238,,sedan,0,0,0,1.0
540591,65+,female,majority,30y+,university,upper class,0.6995446355113222,1.0,after 2015,0.0,1.0,92101,15000.0,sedan,2,0,0,0.0
374337,40-64,male,majority,20-29y,high school,working class,0.4558557235183332,0.0,before 2015,0.0,0.0,10238,13000.0,sedan,0,1,3,0.0
123508,65+,female,majority,30y+,university,upper class,,1.0,after 2015,1.0,1.0,32765,7000.0,sedan,10,1,1,0.0
541648,40-64,female,majority,0-9y,high school,upper class,0.7136079957757449,1.0,after 2015,1.0,0.0,10238,17000.0,sedan,0,0,0,0.0
223064,26-39,male,majority,10-19y,university,upper class,0.719918789869379,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,0,0,3,0.0
882741,40-64,male,majority,0-9y,none,poverty,0.2930184956756164,0.0,before 2015,0.0,1.0,10238,13000.0,sedan,0,0,0,1.0
160763,26-39,male,majority,10-19y,university,middle class,0.5346089416239137,1.0,before 2015,0.0,1.0,10238,11000.0,sports car,1,0,5,0.0
674205,16-25,female,minority,0-9y,high school,working class,0.4209013627520005,0.0,after 2015,0.0,1.0,32765,8000.0,sedan,0,0,0,0.0
3856,40-64,female,majority,0-9y,high school,upper class,0.4966865796888583,1.0,after 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,0.0
691782,26-39,female,majority,10-19y,university,upper class,0.5648598691189141,1.0,after 2015,1.0,1.0,10238,7000.0,sedan,0,0,0,0.0
731733,40-64,female,minority,20-29y,none,poverty,0.3170848157196212,0.0,before 2015,0.0,1.0,10238,10000.0,sedan,1,0,1,0.0
593636,65+,male,majority,20-29y,none,middle class,0.5761410516863594,1.0,after 2015,0.0,1.0,10238,11000.0,sedan,3,1,1,0.0
20645,40-64,female,majority,20-29y,university,upper class,0.6553512480035613,1.0,after 2015,1.0,1.0,92101,10000.0,sedan,1,0,0,0.0
524914,40-64,male,majority,20-29y,high school,upper class,0.3769215797809953,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,4,0,9,0.0
197660,40-64,male,majority,0-9y,high school,working class,0.5689590158642488,1.0,after 2015,1.0,1.0,10238,10000.0,sedan,0,0,0,1.0
680709,65+,female,majority,30y+,university,upper class,0.6958698252477195,0.0,after 2015,1.0,1.0,10238,9000.0,sedan,3,0,2,0.0
816776,26-39,female,majority,10-19y,high school,upper class,0.6616702922734885,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,1,0,1,0.0
107735,65+,male,majority,30y+,university,upper class,0.4758758960926596,1.0,after 2015,1.0,1.0,32765,7000.0,sedan,8,0,4,0.0
822227,16-25,female,majority,0-9y,high school,working class,0.4466683299509061,1.0,after 2015,0.0,0.0,92101,17000.0,sedan,0,0,0,0.0
933988,65+,female,majority,10-19y,high school,upper class,0.5887804243446704,0.0,after 2015,1.0,1.0,10238,9000.0,sedan,0,0,1,0.0
59488,40-64,male,minority,20-29y,university,upper class,0.5628766176819733,1.0,before 2015,1.0,1.0,10238,10000.0,sports car,1,0,3,0.0
331717,40-64,female,majority,20-29y,high school,upper class,0.4646878976644145,1.0,after 2015,0.0,1.0,10238,,sedan,2,1,1,0.0
170494,26-39,female,majority,10-19y,university,upper class,0.5223975134341897,1.0,before 2015,1.0,1.0,10238,8000.0,sedan,3,0,0,0.0
633166,40-64,female,majority,20-29y,none,working class,0.3685388519924869,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,1,0.0
88340,16-25,male,majority,0-9y,university,working class,0.3450578498840382,1.0,before 2015,1.0,1.0,10238,,sedan,0,0,0,1.0
860511,40-64,female,majority,20-29y,high school,upper class,0.579613604777953,1.0,before 2015,1.0,1.0,32765,8000.0,sedan,4,0,1,0.0
94766,16-25,female,majority,0-9y,high school,working class,0.356589005878555,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,1.0
902987,26-39,female,majority,0-9y,university,upper class,0.7943143735731404,1.0,after 2015,0.0,1.0,10238,11000.0,sedan,0,0,0,0.0
761533,40-64,male,majority,0-9y,none,working class,0.4714899368262763,0.0,before 2015,1.0,1.0,10238,,sedan,0,0,0,0.0
393748,16-25,female,majority,0-9y,university,poverty,0.2818370783216598,0.0,before 2015,0.0,0.0,10238,,sports car,0,0,0,1.0
268399,40-64,male,majority,20-29y,high school,upper class,0.5370649528312461,1.0,before 2015,1.0,1.0,10238,8000.0,sedan,3,1,1,0.0
830012,65+,female,majority,20-29y,university,upper class,0.6148147154486039,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,1,0.0
410504,40-64,female,minority,10-19y,high school,middle class,0.5926096840740965,0.0,before 2015,1.0,1.0,10238,13000.0,sedan,0,0,0,0.0
812722,65+,female,majority,30y+,university,upper class,0.6469720725930872,1.0,before 2015,1.0,0.0,10238,11000.0,sedan,0,2,0,0.0
545432,16-25,female,majority,0-9y,high school,working class,0.2705635141230467,1.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,0.0
248605,40-64,female,majority,20-29y,none,middle class,0.5105669130007187,0.0,after 2015,0.0,1.0,10238,15000.0,sedan,1,0,1,0.0
764088,40-64,female,majority,20-29y,university,upper class,0.46994237748042,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,2,0,6,0.0
113172,40-64,male,majority,20-29y,university,upper class,0.4718619293037006,1.0,before 2015,1.0,0.0,10238,11000.0,sedan,3,1,5,0.0
699793,16-25,male,majority,0-9y,high school,poverty,0.280058952547863,0.0,before 2015,0.0,1.0,10238,11000.0,sedan,0,0,0,1.0
