polholder_age,polholder_BMCevol,polholder_diffdriver,polholder_gender,polholder_job,policy_age,policy_caruse,policy_nbcontract,prem_final,prem_freqperyear,prem_last,prem_market,prem_pure,vehicl_age,vehicl_agepurchase,vehicl_garage,vehicl_powerkw,vehicl_region,lapse
46,stable,young drivers,Female,normal,0,private or freelance work,1,194.98,1 per year,194.99,237.57,187.94,14,9,private garage,25-50 kW,Reg12,0
51,down,same,Male,medical,0,private or freelance work,5,185.92,1 per year,189.71,316.77,172.46,16,9,private garage,100 kW,Reg3,0
38,down,only partner,Male,normal,2,private or freelance work,1,350.8,2 per year,357.96,339.38,322.16,12,6,street,75 kW,Reg8,1
33,down,only partner,Female,normal,2,private or freelance work,2,310.77,1 per year,317.11,272.8,285.4,15,10,street,25-50 kW,Reg5,1
34,stable,only partner,Male,medical,2,private or freelance work,2,353.0,1 per year,353.01,422.45,346.4,12,10,carport,100 kW,Reg8,0
33,stable,only partner,Male,normal,2,private or freelance work,2,215.19,1 per year,215.2,256.16,215.2,10,3,private garage,100 kW,Reg3,0
49,down,young drivers,Male,medical,0,private or freelance work,1,569.65,1 per year,581.27,508.5,498.24,11,7,carport,75 kW,Reg7,0
42,down,only partner,Female,medical,6,unknown,1,432.85,12 per year,441.69,347.3,386.73,16,9,private garage,75 kW,Reg8,0
44,down,same,Female,medical,0,private or freelance work,1,470.58,2 per year,546.64,610.09,427.8,14,13,private garage,75 kW,Reg4,0
41,stable,only partner,Male,normal,5,unknown,1,400.44,1 per year,400.45,305.76,400.45,18,15,unknown,75 kW,Reg4,0
36,down,same,Male,normal,0,private or freelance work,1,480.79,2 per year,490.6,587.81,484.78,15,14,private garage,75 kW,Reg9,0
61,down,same,Male,medical,1,private or freelance work,1,471.25,1 per year,480.86,529.52,428.0,14,3,private garage,75 kW,Reg9,0
41,stable,same,Male,normal,4,private or freelance work,1,268.96,1 per year,268.97,231.54,271.5,17,6,unknown,100 kW,Reg4,0
37,stable,same,Male,medical,1,private or freelance work,1,227.44,12 per year,216.63,234.1,228.94,9,5,other,100 kW,Reg12,0
47,down,only partner,Male,normal,2,private or freelance work,1,388.96,2 per year,396.9,331.39,350.54,15,12,private garage,100 kW,Reg4,0
35,stable,same,Male,normal,1,private or freelance work,1,464.44,12 per year,464.45,466.7,482.55,12,10,street,75 kW,Reg9,0
28,stable,only partner,Female,normal,0,private or freelance work,1,392.41,1 per year,392.43,409.31,381.45,12,11,private garage,100 kW,Reg14,0
33,stable,all drivers > 24,Male,normal,1,private or freelance work,1,310.85,1 per year,310.86,363.15,310.86,13,4,parking deck,100 kW,Reg4,0
77,stable,young drivers,Female,normal,8,unknown,1,323.26,1 per year,317.22,302.67,323.26,15,0,street,75 kW,Reg5,0
38,stable,same,Male,normal,2,private or freelance work,1,295.13,4 per year,295.13,308.46,295.13,9,0,underground garage,100 kW,Reg5,0
55,down,only partner,Female,medical,1,private or freelance work,1,231.98,1 per year,236.71,245.56,205.2,12,6,carport,125-300 kW,Reg7,0
41,stable,young drivers,Female,medical,1,private or freelance work,3,326.47,1 per year,310.94,378.05,332.14,10,9,carport,25-50 kW,Reg6,0
23,down,same,Female,normal,0,private or freelance work,1,420.11,12 per year,438.38,401.53,342.51,10,6,street,25-50 kW,Reg9,0
32,down,same,Male,normal,0,private or freelance work,1,394.44,1 per year,402.49,455.24,375.65,9,6,street,75 kW,Reg3,0
31,down,same,Female,normal,0,private or freelance work,1,193.88,1 per year,197.84,270.43,181.35,16,7,private garage,75 kW,Reg10,1
48,stable,young drivers,Male,normal,0,private or freelance work,1,216.3,2 per year,216.31,267.81,216.31,15,7,private garage,100 kW,Reg4,0
37,up,same,Female,medical,1,private or freelance work,1,286.18,4 per year,214.64,360.15,286.18,10,5,other,100 kW,Reg11,1
41,up,same,Female,medical,1,private or freelance work,1,354.2,1 per year,265.65,428.62,354.2,8,3,private garage,125-300 kW,Reg8,0
47,stable,only partner,Male,medical,4,private or freelance work,1,194.49,1 per year,194.5,189.36,198.15,17,2,unknown,100 kW,Reg7,0
40,stable,only partner,Male,normal,1,private or freelance work,1,261.77,2 per year,261.79,325.66,261.79,18,13,street,100 kW,Reg4,0
42,stable,young drivers,Male,medical,0,private or freelance work,1,271.34,1 per year,271.35,494.52,271.35,11,5,underground garage,75 kW,Reg2,0
45,down,only partner,Male,normal,2,private or freelance work,1,310.38,1 per year,316.71,358.39,281.53,18,11,street,125-300 kW,Reg2,0
44,down,only partner,Male,medical,7,unknown,2,195.67,1 per year,199.66,209.81,172.64,9,2,private garage,75 kW,Reg4,0
