LocalGov,StatDiv,ClaimNb,AccNb,KillInjNb,Pop,PopDens
Ashfield,D1,1103,2304,920,124850,0.499001
Auburn,D1,1939,2660,1465,143500,0.148379
Bankstown,D1,4339,7381,3864,470700,0.205407
Baulkhamhills,D1,1491,3217,1554,311300,0.025879
Blacktown,D1,3801,6655,4175,584900,0.081222
Botany,D1,387,2013,854,106350,0.178143
Burwood,D1,1299,1888,946,88750,0.413285
Camden,D1,326,510,353,56900,0.009404
Campbelltown,D1,1789,2872,1846,354050,0.03785
Canterbury,D1,3310,4991,2497,396100,0.392816
Concord,D1,443,1182,497,71200,0.204721
Drummoyne,D1,673,1340,517,95950,0.39755
Fairfield,D1,6524,6977,3332,457150,0.150497
Holroyd,D1,1217,3672,1526,243900,0.202343
Hornsby,D1,1526,4459,2044,359450,0.025476
Huntershill,D1,109,596,235,38000,0.22174
Hurstville,D1,1279,2276,953,197800,0.288277
Kogarah,D1,852,1945,845,141800,0.307531
Ku-ring-gai,D1,1285,3081,1181,314150,0.122736
Lanecove,D1,417,1078,432,89300,0.283117
Leichhardt,D1,1333,3001,1327,176000,0.464087
Liverpool,D1,3231,4638,2843,286000,0.031331
Manly,D1,493,1045,483,111350,0.258296
Marrickville,D1,2201,4159,1933,254500,0.524696
Mosman,D1,464,918,364,81300,0.315388
Northsydney,D1,773,2476,1053,153800,0.473446
Parramatta,D1,4746,7245,3089,399900,0.218914
Penrith,D1,2596,4491,2579,401050,0.033051
Randwick,D1,1724,3826,1800,356250,0.324929
Rockdale,D1,2132,3683,1538,259050,0.30434
Ryde,D1,1715,3655,1633,275600,0.22715
Strathfield,D1,879,1615,675,79850,0.18927
Sutherland,D1,2467,5133,2552,538100,0.053949
Sydney,D1,4631,9416,4201,243450,0.333476
Warringah,D1,1856,4983,2505,540500,0.075389
Waverley,D1,911,1720,805,188600,0.687608
Willoughby,D1,966,2472,895,160350,0.237332
Woollahra,D1,789,1619,778,161450,0.43451
Bluemountains,D2,1115,1913,1335,191950,0.004456
Gosford,D2,1716,3487,2143,327600,0.011485
