Age,Gender,Veh,CrashDegree,number
17-20,Male,Car,fatal,53
21-25,Male,Car,fatal,37
26-29,Male,Car,fatal,19
30-39,Male,Car,fatal,44
40-49,Male,Car,fatal,34
50-59,Male,Car,fatal,31
>60,Male,Car,fatal,24
>60,Male,Car,fatal,36
17-20,Female,Car,fatal,21
21-25,Female,Car,fatal,19
26-29,Female,Car,fatal,8
30-39,Female,Car,fatal,31
40-49,Female,Car,fatal,26
50-59,Female,Car,fatal,23
>60,Female,Car,fatal,8
>60,Female,Car,fatal,11
17-20,Male,Light truck,fatal,5
21-25,Male,Light truck,fatal,15
26-29,Male,Light truck,fatal,10
30-39,Male,Light truck,fatal,16
40-49,Male,Light truck,fatal,15
50-59,Male,Light truck,fatal,12
>60,Male,Light truck,fatal,6
>60,Male,Light truck,fatal,4
40-49,Female,Light truck,fatal,3
50-59,Female,Light truck,fatal,2
26-29,Male,bus; heavy rigid or articulated truck,fatal,2
30-39,Male,bus; heavy rigid or articulated truck,fatal,7
40-49,Male,bus; heavy rigid or articulated truck,fatal,9
50-59,Male,bus; heavy rigid or articulated truck,fatal,10
>60,Male,bus; heavy rigid or articulated truck,fatal,1
21-25,Male,bus; heavy rigid or articulated truck,fatal,1
26-29,Male,bus; heavy rigid or articulated truck,fatal,8
30-39,Male,bus; heavy rigid or articulated truck,fatal,17
40-49,Male,bus; heavy rigid or articulated truck,fatal,14
50-59,Male,bus; heavy rigid or articulated truck,fatal,14
>60,Male,bus; heavy rigid or articulated truck,fatal,4
26-29,Male,bus; heavy rigid or articulated truck,fatal,1
40-49,Male,bus; heavy rigid or articulated truck,fatal,5
50-59,Male,bus; heavy rigid or articulated truck,fatal,3
>60,Male,bus; heavy rigid or articulated truck,fatal,3
>60,Male,bus; heavy rigid or articulated truck,fatal,1
40-49,Female,bus; heavy rigid or articulated truck,fatal,2
17-20,Male,Motorcycle,fatal,8
21-25,Male,Motorcycle,fatal,9
26-29,Male,Motorcycle,fatal,8
30-39,Male,Motorcycle,fatal,15
40-49,Male,Motorcycle,fatal,11
50-59,Male,Motorcycle,fatal,5
>60,Male,Motorcycle,fatal,1
>60,Male,Motorcycle,fatal,2
30-39,Female,Motorcycle,fatal,1
50-59,Female,Motorcycle,fatal,1
17-20,Male,Car,injury,2123
21-25,Male,Car,injury,2005
26-29,Male,Car,injury,1290
30-39,Male,Car,injury,2803
40-49,Male,Car,injury,2433
50-59,Male,Car,injury,1737
>60,Male,Car,injury,974
>60,Male,Car,injury,882
17-20,Female,Car,injury,1490
21-25,Female,Car,injury,1664
26-29,Female,Car,injury,1039
30-39,Female,Car,injury,2449
40-49,Female,Car,injury,2156
50-59,Female,Car,injury,1308
>60,Female,Car,injury,555
>60,Female,Car,injury,445
17-20,Male,Light truck,injury,212
21-25,Male,Light truck,injury,329
26-29,Male,Light truck,injury,260
30-39,Male,Light truck,injury,627
40-49,Male,Light truck,injury,479
50-59,Male,Light truck,injury,322
>60,Male,Light truck,injury,137
>60,Male,Light truck,injury,51
17-20,Female,Light truck,injury,24
21-25,Female,Light truck,injury,25
26-29,Female,Light truck,injury,20
30-39,Female,Light truck,injury,64
40-49,Female,Light truck,injury,64
50-59,Female,Light truck,injury,24
>60,Female,Light truck,injury,10
>60,Female,Light truck,injury,4
17-20,Male,bus; heavy rigid or articulated truck,injury,7
21-25,Male,bus; heavy rigid or articulated truck,injury,45
26-29,Male,bus; heavy rigid or articulated truck,injury,32
30-39,Male,bus; heavy rigid or articulated truck,injury,144
40-49,Male,bus; heavy rigid or articulated truck,injury,143
50-59,Male,bus; heavy rigid or articulated truck,injury,98
>60,Male,bus; heavy rigid or articulated truck,injury,27
>60,Male,bus; heavy rigid or articulated truck,injury,2
50-59,Female,bus; heavy rigid or articulated truck,injury,1
21-25,Male,bus; heavy rigid or articulated truck,injury,26
26-29,Male,bus; heavy rigid or articulated truck,injury,50
30-39,Male,bus; heavy rigid or articulated truck,injury,182
40-49,Male,bus; heavy rigid or articulated truck,injury,166
50-59,Male,bus; heavy rigid or articulated truck,injury,116
>60,Male,bus; heavy rigid or articulated truck,injury,28
>60,Male,bus; heavy rigid or articulated truck,injury,2
50-59,Female,bus; heavy rigid or articulated truck,injury,1
17-20,Male,bus; heavy rigid or articulated truck,injury,2
21-25,Male,bus; heavy rigid or articulated truck,injury,11
26-29,Male,bus; heavy rigid or articulated truck,injury,20
30-39,Male,bus; heavy rigid or articulated truck,injury,51
40-49,Male,bus; heavy rigid or articulated truck,injury,83
50-59,Male,bus; heavy rigid or articulated truck,injury,95
>60,Male,bus; heavy rigid or articulated truck,injury,49
