City_Code,Region_Code,Accomodation_Type,Reco_Insurance_Type,Upper_Age,Lower_Age,Is_Spouse,Health Indicator,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response
C2,2708,Owned,Joint,61,24,No,X1,,,18,20899.2,0
C3,1125,Rented,Individual,28,28,No,,7.0,1.0,16,12240.0,1
C11,1359,Rented,Individual,65,65,No,X6,14+,1.0,13,15288.0,0
C6,1067,Rented,Individual,22,22,No,X2,,,15,7176.0,1
C3,1208,Rented,Individual,37,37,No,,,,2,12210.0,0
C1,1341,Owned,Individual,62,62,No,X3,10.0,3.0,21,18760.0,0
C3,58,Rented,Individual,24,24,No,X5,,,16,5520.0,0
C2,1215,Owned,Individual,34,34,No,,1.0,2.0,17,8076.0,0
C1,3873,Owned,Joint,75,74,Yes,X5,14+,3.0,16,34214.4,0
C9,1349,Rented,Individual,22,22,No,,1.0,1.0,15,9584.0,1
C11,1454,Owned,Individual,47,47,No,X2,1.0,2.0,19,10782.0,0
C8,2450,Owned,Individual,30,30,No,X2,1.0,1.0,18,9632.0,0
C4,4174,Owned,Individual,60,60,No,X3,3.0,3.0,1,13754.0,0
C3,950,Owned,Individual,36,36,No,X1,1.0,1.0,12,11840.0,0
C1,399,Rented,Individual,48,48,No,,,,5,13720.0,1
C7,619,Owned,Joint,66,41,No,X1,,,20,24696.0,1
C2,910,Rented,Individual,23,23,No,X1,,,14,7212.0,1
C3,1694,Rented,Individual,58,58,No,X4,,,19,13880.0,0
C15,902,Rented,Individual,53,53,No,X3,2.0,1.0,22,15144.0,1
C1,2504,Rented,Individual,28,28,No,,4.0,3.0,17,8064.0,0
C6,368,Owned,Individual,69,69,No,X1,,,18,15678.0,0
C2,4390,Rented,Individual,28,28,No,X2,4.0,3.0,3,7824.0,1
C10,1253,Rented,Individual,28,28,No,X4,,,18,10346.0,0
C4,1472,Rented,Individual,24,24,No,,2.0,2.0,7,7524.0,0
C7,3549,Rented,Individual,57,57,No,X1,3.0,1.0,16,16128.0,0
C15,2502,Rented,Individual,64,64,No,X3,10.0,1.0,1,18090.0,0
C1,3547,Owned,Individual,57,57,No,X1,3.0,3.0,21,18570.0,1
C16,79,Rented,Individual,32,32,No,X1,,,10,12640.0,1
C4,357,Owned,Individual,54,54,No,X1,4.0,3.0,16,14454.0,0
C4,1960,Rented,Individual,46,46,No,X3,14+,1.0,16,16484.0,1
C22,711,Owned,Individual,47,47,No,X2,,,21,9552.0,1
C2,1474,Owned,Joint,55,47,Yes,X2,1.0,3.0,21,30960.0,1
C9,3757,Rented,Individual,56,56,No,X1,,,20,13596.0,0
C1,4065,Owned,Individual,25,25,No,,1.0,4.0,16,5208.0,0
C2,2350,Rented,Individual,21,21,No,X1,,,12,5080.0,1
C2,1427,Owned,Individual,70,70,No,X2,,,22,15444.0,0
C1,8,Rented,Individual,68,68,No,X5,10.0,4.0,5,15626.0,0
C3,2149,Owned,Individual,47,47,No,X1,,,22,12078.0,0
C20,2048,Rented,Individual,22,22,No,X1,,,18,4736.0,1
