Num_Features,Selected_Features,ROC_AUC
1,RACE,0.5
2,"RACE, INCOME",0.7433460339692897
3,"RACE, INCOME, MARRIED",0.7556202336500981
4,"RACE, INCOME, MARRIED, ANNUAL_MILEAGE",0.7566851686850161
5,"RACE, INCOME, MARRIED, ANNUAL_MILEAGE, AGE",0.7939879419075915
6,"RACE, INCOME, MARRIED, ANNUAL_MILEAGE, AGE, VEHICLE_TYPE",0.7952140906564229
7,"RACE, INCOME, MARRIED, ANNUAL_MILEAGE, AGE, VEHICLE_TYPE, POSTAL_CODE",0.8232745221082363
8,"RACE, INCOME, MARRIED, ANNUAL_MILEAGE, AGE, VEHICLE_TYPE, POSTAL_CODE, ID",0.8233126586857211
9,"RACE, INCOME, MARRIED, ANNUAL_MILEAGE, AGE, VEHICLE_TYPE, POSTAL_CODE, ID, CHILDREN",0.8234935185153084
10,"RACE, INCOME, MARRIED, ANNUAL_MILEAGE, AGE, VEHICLE_TYPE, POSTAL_CODE, ID, CHILDREN, PAST_ACCIDENTS",0.8411033720824075
11,"RACE, INCOME, MARRIED, ANNUAL_MILEAGE, AGE, VEHICLE_TYPE, POSTAL_CODE, ID, CHILDREN, PAST_ACCIDENTS, EDUCATION",0.8417499604188551
12,"RACE, INCOME, MARRIED, ANNUAL_MILEAGE, AGE, VEHICLE_TYPE, POSTAL_CODE, ID, CHILDREN, PAST_ACCIDENTS, EDUCATION, DUIS",0.8444010303809842
