Num_Features,Selected_Features,ROC_AUC
1,Reco_Policy_Cat,0.6279857713027939
2,"City_Code, Reco_Policy_Cat",0.637450235061518
3,"City_Code, Reco_Insurance_Type, Reco_Policy_Cat",0.6360746676587152
4,"City_Code, Reco_Insurance_Type, Is_Spouse, Reco_Policy_Cat",0.638218272695362
5,"City_Code, Reco_Insurance_Type, Is_Spouse, Holding_Policy_Type, Reco_Policy_Cat",0.6654306060996988
6,"City_Code, Reco_Insurance_Type, Is_Spouse, Holding_Policy_Duration, Holding_Policy_Type, Reco_Policy_Cat",0.6681537395332371
7,"City_Code, Reco_Insurance_Type, Is_Spouse, Holding_Policy_Duration, Holding_Policy_Type, Reco_Policy_Cat, Reco_Policy_Premium",0.660501864591365
8,"City_Code, Reco_Insurance_Type, Upper_Age, Is_Spouse, Holding_Policy_Duration, Holding_Policy_Type, Reco_Policy_Cat, Reco_Policy_Premium",0.6547815842976307
9,"City_Code, Reco_Insurance_Type, Upper_Age, Lower_Age, Is_Spouse, Holding_Policy_Duration, Holding_Policy_Type, Reco_Policy_Cat, Reco_Policy_Premium",0.6588317827573551
10,"City_Code, Accomodation_Type, Reco_Insurance_Type, Upper_Age, Lower_Age, Is_Spouse, Holding_Policy_Duration, Holding_Policy_Type, Reco_Policy_Cat, Reco_Policy_Premium",0.6448365969932526
11,"City_Code, Accomodation_Type, Reco_Insurance_Type, Upper_Age, Lower_Age, Is_Spouse, Health Indicator, Holding_Policy_Duration, Holding_Policy_Type, Reco_Policy_Cat, Reco_Policy_Premium",0.6620964427256936
12,"City_Code, Region_Code, Accomodation_Type, Reco_Insurance_Type, Upper_Age, Lower_Age, Is_Spouse, Health Indicator, Holding_Policy_Duration, Holding_Policy_Type, Reco_Policy_Cat, Reco_Policy_Premium",0.6694313021338045
