Num_Features,Selected_Features,ROC_AUC
1,VEHICLE_YEAR,0.6534522846376432
2,"VEHICLE_YEAR, RACE",0.6546020743591425
3,"VEHICLE_YEAR, RACE, VEHICLE_OWNERSHIP",0.7485613962200892
4,"VEHICLE_YEAR, RACE, VEHICLE_OWNERSHIP, ID",0.7546428909831704
5,"VEHICLE_YEAR, RACE, VEHICLE_OWNERSHIP, ID, MARRIED",0.7917422867513612
6,"VEHICLE_YEAR, RACE, VEHICLE_OWNERSHIP, ID, MARRIED, VEHICLE_TYPE",0.7956271547168712
7,"VEHICLE_YEAR, RACE, VEHICLE_OWNERSHIP, ID, MARRIED, VEHICLE_TYPE, INCOME",0.8108805457765728
8,"VEHICLE_YEAR, RACE, VEHICLE_OWNERSHIP, ID, MARRIED, VEHICLE_TYPE, INCOME, SPEEDING_VIOLATIONS",0.8565623656149097
9,"VEHICLE_YEAR, RACE, VEHICLE_OWNERSHIP, ID, MARRIED, VEHICLE_TYPE, INCOME, SPEEDING_VIOLATIONS, PAST_ACCIDENTS",0.8690150802848416
10,"VEHICLE_YEAR, RACE, VEHICLE_OWNERSHIP, ID, MARRIED, VEHICLE_TYPE, INCOME, SPEEDING_VIOLATIONS, PAST_ACCIDENTS, ANNUAL_MILEAGE",0.8710112683037049
11,"VEHICLE_YEAR, RACE, VEHICLE_OWNERSHIP, ID, MARRIED, VEHICLE_TYPE, INCOME, SPEEDING_VIOLATIONS, PAST_ACCIDENTS, ANNUAL_MILEAGE, EDUCATION",0.8716125846398298
12,"VEHICLE_YEAR, RACE, VEHICLE_OWNERSHIP, ID, MARRIED, VEHICLE_TYPE, INCOME, SPEEDING_VIOLATIONS, PAST_ACCIDENTS, ANNUAL_MILEAGE, EDUCATION, AGE",0.8808929000940241
