Num_Features,Selected_Features,ROC_AUC
1,Communication,0.5930506163266398
2,"Communication, LastContactMonth",0.6663948233909998
3,"Communication, LastContactMonth, CarLoan",0.6952458621888286
4,"Communication, LastContactMonth, CarLoan, HHInsurance",0.7244712425465921
5,"Communication, LastContactMonth, CarLoan, HHInsurance, PrevAttempts",0.7519987165432231
6,"Communication, LastContactMonth, CarLoan, HHInsurance, PrevAttempts, Default",0.7452605684643975
7,"Communication, LastContactMonth, CarLoan, HHInsurance, PrevAttempts, Default, Balance",0.7197919730474077
8,"Communication, LastContactMonth, CarLoan, HHInsurance, PrevAttempts, Default, Balance, Age",0.7192170913660794
9,"Communication, LastContactMonth, CarLoan, HHInsurance, PrevAttempts, Default, Balance, Age, Outcome",0.7244043958394608
10,"Communication, LastContactMonth, CarLoan, HHInsurance, PrevAttempts, Default, Balance, Age, Outcome, CallStart",0.7436963555175272
11,"Communication, LastContactMonth, CarLoan, HHInsurance, PrevAttempts, Default, Balance, Age, Outcome, CallStart, Education",0.7482553009438755
12,"Communication, LastContactMonth, CarLoan, HHInsurance, PrevAttempts, Default, Balance, Age, Outcome, CallStart, Education, Marital",0.74518035241584
