Num_Features,Selected_Features,ROC_AUC
1,ChronicDiseases,0.5256781742417971
2,"ChronicDiseases, FamilyMembers",0.5674448767833982
3,"ChronicDiseases, FamilyMembers, FrequentFlyer",0.6402709937356845
4,"ChronicDiseases, FamilyMembers, FrequentFlyer, AnnualIncome",0.7907387476888263
5,"ChronicDiseases, FamilyMembers, FrequentFlyer, AnnualIncome, EverTravelledAbroad",0.7833705880729642
6,"ChronicDiseases, FamilyMembers, FrequentFlyer, AnnualIncome, EverTravelledAbroad, GraduateOrNot",0.781507851091426
7,"ChronicDiseases, FamilyMembers, FrequentFlyer, AnnualIncome, EverTravelledAbroad, GraduateOrNot, Employment Type",0.7876479841046445
8,"ChronicDiseases, FamilyMembers, FrequentFlyer, AnnualIncome, EverTravelledAbroad, GraduateOrNot, Employment Type, Age",0.806482324695753
9,"ChronicDiseases, FamilyMembers, FrequentFlyer, AnnualIncome, EverTravelledAbroad, GraduateOrNot, Employment Type, Age",0.806482324695753
10,"ChronicDiseases, FamilyMembers, FrequentFlyer, AnnualIncome, EverTravelledAbroad, GraduateOrNot, Employment Type, Age",0.806482324695753
11,"ChronicDiseases, FamilyMembers, FrequentFlyer, AnnualIncome, EverTravelledAbroad, GraduateOrNot, Employment Type, Age",0.806482324695753
12,"ChronicDiseases, FamilyMembers, FrequentFlyer, AnnualIncome, EverTravelledAbroad, GraduateOrNot, Employment Type, Age",0.806482324695753
